"Hylak_id","Catch_area"
1,631242.589802122
2,46572.5677413053
3,228545.813920958
4,102073.427658915
5,119407.02091889
6,88514.5792357936
7,37550.4058518981
8,88121.8872600632
9,64765.240714474
10,61960.6901985693
11,502744.88822219
12,169359.989718873
13,79719.8550606719
14,25958.8204431882
15,676630.227571418
16,173286.7457065
17,98703.3352603868
18,119494.288517954
19,24266.3809822411
20,8532.87132912707
21,1717.43940587113
22,2308.80343680133
23,8010.2473001225
24,2672.81588258519
25,2782.13730592872
26,5212.01332350195
27,3121.26739299842
28,2574.1585236571
29,3393.43419167452
30,1973.04223773926
31,5917.28168173269
32,4173.96937651009
33,88271.2809136298
34,4218.84311500019
35,3027.52053854601
36,2162.98638653971
37,6248.87367831257
38,9455.42535256789
39,1837.72277652628
40,45557.2771796547
41,3279.84085835901
42,6425.98938770245
43,6277.73747000428
44,1923.90694759329
45,1738.17133763254
46,5669.26820625186
47,4324.36218548468
48,2989.67159750764
49,9524.53353836634
50,856.406169258173
51,5684.28730377169
52,13878.1324885653
53,13864.4968247823
54,4564.14444088285
55,8674.0724749212
56,4114.57166525658
57,22628.0937133906
58,9569.02388051833
59,8960.20179156804
60,3526.11154034314
61,4335.30200436384
62,165322.70358767
63,1298.90698452166
64,11557.2131729306
65,69081.5257295156
66,11016.99071561
67,18740.3494412103
68,4062.89934838651
69,5678.95007659462
70,3141.74856989616
71,6005.81926526765
72,20275.7407860066
73,84868.7835729993
74,12693.1681802626
75,13410.0265220028
76,483043.841579532
77,259179.878877389
78,32060.973667179
79,8167.61525864967
80,47106.6509117423
81,46003.9162678548
82,141896.966492034
83,46820.3693604848
84,7777.45727929155
85,24836.9460122411
86,37711.5148507483
87,10055.6933949137
88,8520.96474694837
89,5305.65516280978
90,7259.30281832899
91,20629.8237699427
92,5982.88260881166
93,15078.3897177222
94,4116.81055704721
95,5504.70831378106
96,101157.101554573
97,3511.61391031843
98,3708.16145240987
99,11082.2815238739
100,27827.5416176374
101,2823.24038441133
102,7540.47838925512
103,28412.9212583166
104,3376.4358103127
105,12811.4726126709
106,140696.324737515
107,39314.0497522961
108,47772.0261588833
109,74449.5052603316
110,149144.565133153
111,201902.652039553
112,94589.7998143833
113,164611.052613332
114,3411.58573544879
115,77501.1660219184
116,148376.353831156
117,9796.29003413304
118,55763.2458287258
119,7522.51337945586
120,4080.00307888545
121,63226.8133890415
122,112568.293587193
123,10334.440019746
124,11956.0713311243
125,7601.63778272195
126,43392.0792807579
127,44513.5118794913
128,159561.512378812
129,7936.94410491257
130,76863.2915124632
131,18535.1585255221
132,5870.71770657968
133,16351.7276695791
134,14873.5140160099
135,88214.3961116981
136,21185.1944482905
137,55150.959006107
138,20322.8690647127
139,4728.73707795753
140,13649.5776698968
141,11476.584752938
142,39050.7659777516
143,27767.4676893916
144,24708.4501986749
145,99722.6458128612
146,66886.4923487284
147,20210.3101854557
148,7586.27206657808
149,10264.8510941872
150,43610.3196239286
151,65580.5243819587
152,910915.630917507
153,39912.5154570651
154,14639.9228744156
155,849783.010900189
156,226742.325814382
157,13664.6120836141
158,140380.023080127
159,62375.1628260855
160,3645.4203482475
161,14262.7300512462
162,15948.2865868166
163,7083.7426129308
164,8883.54313618897
165,13911.3340394629
166,64523.5073732337
167,87371.0539303514
168,9505.30532301207
169,8869.64887461234
170,7787.20988188432
171,198397.711791232
172,388697.672314177
173,5548.99169692438
174,37489.4950629797
175,56102.3490154948
176,28979.1162053255
177,18632.7189753987
178,8543.55134566847
179,3613.41824540891
180,171.757476533909
181,1542.07285242696
182,1056.81784657042
183,1448.92445325299
184,781.104894926302
185,3640.02589779433
186,600.529446049387
187,1923.37215456262
188,277.970114698555
189,246.990776288247
190,1899.07034755944
191,194.342262776349
192,755.757954184683
193,1028.43507368193
194,1451.14233752557
195,934.96353035962
196,1420.65973362057
197,523.323435239003
198,341.168209003746
199,693.935520198691
200,561.673443666991
201,284.079248686646
202,250.347565464461
203,367.842786126039
204,382.816234610355
205,348.168728096021
206,37.2447356108663
207,632.274692075557
208,1356.03285224955
209,2814.21253942376
210,332.709714953839
211,874.619184899488
212,326.899677750847
213,414.247106573663
214,221.869955020179
215,763.414199135362
216,888.966381385748
217,1318.9760668376
218,922.097138865686
219,610.807499355081
220,278.427922115213
221,278.07647845787
222,237.998135182414
223,537.413020844845
224,546.487840725614
225,192.788022052202
226,714.039669360652
227,629.153287692927
228,709.688747644421
229,2067.21055812032
230,751.728414399431
231,464.593898288866
232,338.506375261128
233,768.460487612485
234,896.727624344956
235,700.127817592662
236,274.452856203587
237,495.882238766891
